Rc Rg Za current
7.4 3.28 9.0 1078.1033
7.4 3.28 9.5 916.0189
7.4 3.28 10.0 790.2605
7.4 3.28 10.5 690.1487
7.4 3.28 11.0 609.2256
7.4 3.38 7.0 2636.2768
7.4 3.38 7.5 2040.7666
7.4 3.38 8.0 1632.8931
7.4 3.38 8.5 1331.3291
7.4 3.38 9.0 1113.1273
7.4 3.38 9.5 947.616
7.4 3.38 10.0 817.6621
7.4 3.38 10.5 713.9955
7.4 3.38 11.0 630.5419
7.4 3.48 7.0 2713.0154
7.4 3.48 7.5 2105.0056
7.4 3.48 8.0 1684.8006
7.4 3.48 8.5 1381.317
7.4 3.48 9.0 1148.4683
7.4 3.48 9.5 979.9103
7.4 3.48 10.0 843.7869
7.4 3.48 10.5 737.778
7.4 3.48 11.0 651.9871
7.4 3.58 7.0 2787.4743
7.4 3.58 7.5 2164.8545
7.4 3.58 8.0 1723.0805
7.4 3.58 8.5 1413.5324
7.4 3.58 9.0 1184.2364
7.4 3.58 9.5 1011.9017
7.4 3.58 10.0 870.3188
7.4 3.58 10.5 760.8768
7.4 3.58 11.0 672.7529
7.4 3.68 7.0 2865.1794
7.4 3.68 7.5 2227.832
7.4 3.68 8.0 1786.9571
7.4 3.68 8.5 1456.3901
7.4 3.68 9.0 1220.9659
7.4 3.68 9.5 1040.5334
7.4 3.68 10.0 898.7831
7.4 3.68 10.5 785.371
7.4 3.68 11.0 693.8878
7.4 3.78 7.0 2944.1022
7.4 3.78 7.5 2291.8067
7.4 3.78 8.0 1839.3176
7.4 3.78 8.5 1500.885
7.4 3.78 9.0 1258.8491
7.4 3.78 9.5 1073.0858
7.4 3.78 10.0 926.6808
7.4 3.78 10.5 809.6272
7.4 3.78 11.0 715.1138
7.4 3.88 7.0 3024.2829
7.4 3.88 7.5 2355.9134
7.4 3.88 8.0 1892.4763
7.4 3.88 8.5 1548.554
7.4 3.88 9.0 1299.5541
7.4 3.88 9.5 1105.5348
7.4 3.88 10.0 955.3908
7.4 3.88 10.5 835.2093
7.4 3.88 11.0 737.3212
7.4 3.98 7.0 3102.1252
7.4 3.98 7.5 2419.8322
7.4 3.98 8.0 1945.4593
7.4 3.98 8.5 1589.3838
7.4 3.98 9.0 1334.3353
7.4 3.98 9.5 1139.0478
7.4 3.98 10.0 984.221
7.4 3.98 10.5 859.2661
7.4 3.98 11.0 759.024
7.6 1.98 7.0 1651.8361
7.6 1.98 7.5 1248.3511
7.6 1.98 8.0 976.6024
7.6 1.98 8.5 787.2714
7.6 1.98 9.0 647.451
7.6 1.98 9.5 547.0675
7.6 1.98 10.0 468.8531
7.6 1.98 10.5 408.1923
7.6 1.98 11.0 359.7074
7.6 2.08 7.0 1715.4022
7.6 2.08 7.5 1300.3223
7.6 2.08 8.0 1020.3121
7.6 2.08 8.5 823.6858
7.6 2.08 9.0 677.9381
7.6 2.08 9.5 572.1486
7.6 2.08 10.0 491.4032
7.6 2.08 10.5 428.0947
7.6 2.08 11.0 377.4267
7.6 2.18 7.0 1782.1133
7.6 2.18 7.5 1352.0054
7.6 2.18 8.0 1063.4385
7.6 2.18 8.5 860.5226
7.6 2.18 9.0 709.2937
7.6 2.18 9.5 599.4329
7.6 2.18 10.0 514.5428
7.6 2.18 10.5 448.3139
7.6 2.18 11.0 395.2912
7.6 2.28 7.0 1846.6563
7.6 2.28 7.5 1403.7164
7.6 2.28 8.0 1107.9264
7.6 2.28 8.5 896.9205
7.6 2.28 9.0 740.6182
7.6 2.28 9.5 624.8228
7.6 2.28 10.0 537.1522
7.6 2.28 10.5 467.8388
7.6 2.28 11.0 412.413
7.6 2.38 7.0 1914.8325
7.6 2.38 7.5 1459.638
7.6 2.38 8.0 1151.8544
7.6 2.38 8.5 934.0612
7.6 2.38 9.0 775.8197
7.6 2.38 9.5 652.7778
7.6 2.38 10.0 561.5173
7.6 2.38 10.5 489.448
7.6 2.38 11.0 431.4404
7.6 2.48 7.0 1982.0431
7.6 2.48 7.5 1514.7873
7.6 2.48 8.0 1197.1725
7.6 2.48 8.5 972.4194
7.6 2.48 9.0 804.3336
7.6 2.48 9.5 679.5553
7.6 2.48 10.0 585.0156
7.6 2.48 10.5 509.7734
7.6 2.48 11.0 449.7108
7.6 2.58 7.0 2050.1678
7.6 2.58 7.5 1570.2435
7.6 2.58 8.0 1242.9274
7.6 2.58 8.5 1010.4267
7.6 2.58 9.0 839.4104
7.6 2.58 9.5 706.2788
7.6 2.58 10.0 607.9672
7.6 2.58 10.5 530.2704
