gunshot100% waist100%
7.36 0.3987
7.76 0.4939
8.2 0.4323
8.64 0.5227
10.36 0.5462
10.4 0.5436
10.56 0.5648
10.72 0.5729
7.04 0.2694
7.44 0.4089
7.68 0.4695
7.96 0.5028
8.32 0.4491
10.36 0.5198
10.44 0.5183
17.52 0.6707
10.8 0.5623
7.16 0.2873
7.44 0.3733
8.12 0.3828
8.12 0.3552
8.52 0.4517
10.48 0.5039
10.6 0.5177
10.72 0.5274
10.88 0.5493
6.92 0.1658
7.28 0.2719
7.84 0.4314
8.24 0.3911
10.32 0.4305
10.44 0.4599
10.56 0.4682
10.68 0.4792
11.0 0.5421
7.12 0.1816
7.44 0.2974
7.72 0.3751
8.6 0.3823
8.52 0.3587
8.96 0.471
10.84 0.5024
10.96 0.5216
11.08 0.5379
7.24 0.2111
7.56 0.3104
7.84 0.3926
8.12 0.2406
10.44 0.3838
10.6 0.4225
10.76 0.442
10.84 0.4489
11.0 0.4913
7.36 0.1793
7.28 0.1879
7.68 0.3093
8.24 0.2405
8.88 0.3781
8.88 0.3656
11.12 0.4983
11.2 0.5087
11.28 0.5134
6.28 0.597
6.6 0.6622
16.4 0.763
7.32 0.7448
7.72 0.6948
17.96 0.6778
17.68 0.7235
18.92 0.7031
18.76 0.7251
6.4 0.5904
6.68 0.629
7.08 0.6793
7.4 0.7307
17.16 0.6336
18.36 0.659
18.44 0.6901
9.6 0.7354
9.76 0.7497
6.48 0.5672
6.8 0.6152
7.12 0.6631
7.52 0.7127
7.8 0.6726
17.52 0.6935
17.48 0.723
18.76 0.7125
18.68 0.7321
6.52 0.5404
6.8 0.5953
7.2 0.6567
7.52 0.7
8.12 0.6955
18.08 0.6858
17.76 0.7192
9.84 0.7304
9.88 0.7305
6.56 0.5073
6.88 0.5786
7.24 0.6332
7.6 0.6827
7.96 0.7365
9.52 0.6821
18.52 0.7033
9.72 0.7119
10.0 0.7048
6.6 0.4905
6.96 0.5579
7.28 0.6075
7.6 0.669
8.12 0.6504
17.56 0.6683
8.68 0.685
17.56 0.7354
18.76 0.7097
6.68 0.4725
6.96 0.5363
7.28 0.5963
7.64 0.6528
8.04 0.7151
8.44 0.6626
9.8 0.6731
10.08 0.704
10.24 0.7157
6.72 0.4574
7.0 0.5172
7.28 0.587
7.72 0.6377
8.08 0.7035
9.8 0.6567
9.96 0.669
10.12 0.6792
10.2 0.6793
6.72 0.4162
7.16 0.5145
7.4 0.5545
7.72 0.6176
8.12 0.5752
8.56 0.6307
10.04 0.6753
10.2 0.6827
10.36 0.6854
6.88 0.4468
7.2 0.5046
7.4 0.5349
7.72 0.6066
8.32 0.6135
9.84 0.6354
10.08 0.6432
10.24 0.6504
10.36 0.6748
6.92 0.4064
7.24 0.496
7.56 0.561
7.8 0.5848
8.24 0.5456
8.6 0.5901
10.28 0.6413
10.32 0.6476
10.52 0.6611
6.88 0.3676
7.28 0.4813
7.56 0.5366
8.0 0.602
8.4 0.5558
10.12 0.6085
10.24 0.6154
10.36 0.6206
10.52 0.6385
7.04 0.3823
7.24 0.4315
7.56 0.5099
7.96 0.5893
9.96 0.5549
8.56 0.5602
10.32 0.6037
10.44 0.6122
10.64 0.63
6.96 0.3403
7.36 0.438
7.6 0.4805
7.96 0.5675
8.44 0.4962
10.16 0.5426
10.44 0.6004
10.56 0.6104
10.56 0.577
6.88 0.2563
7.36 0.3929
7.76 0.4942
8.2 0.4405
8.68 0.5197
10.36 0.5475
10.4 0.5464
10.52 0.5558
10.72 0.5752
7.04 0.27
7.44 0.4169
7.68 0.4607
8.08 0.5507
10.16 0.4824
10.28 0.4941
10.44 0.5186
10.56 0.5324
10.72 0.5418
7.2 0.2749
7.44 0.3609
8.16 0.3687
8.12 0.3552
8.6 0.4553
10.48 0.4985
10.64 0.5418
10.76 0.5495
10.88 0.5442
6.92 0.1615
7.52 0.3488
7.84 0.4302
8.2 0.3946
10.28 0.4197
10.36 0.4616
10.52 0.4617
10.68 0.4831
11.0 0.5449
7.08 0.1821
7.44 0.2948
7.72 0.3708
8.56 0.3726
8.52 0.3574
9.0 0.4723
10.84 0.4996
10.96 0.513
11.08 0.5315
7.28 0.1885
7.6 0.3035
7.88 0.3864
8.56 0.3856
8.6 0.3844
10.76 0.4453
10.88 0.4645
11.04 0.4892
11.12 0.5065
7.36 0.1807
7.28 0.1859
7.64 0.3092
8.24 0.2496
8.84 0.38
8.88 0.3662
11.08 0.4918
11.16 0.5003
11.28 0.5127
6.32 0.6066
6.64 0.6493
6.96 0.695
7.32 0.7379
7.68 0.6947
17.84 0.6657
17.72 0.7376
18.84 0.7025
17.88 0.7683
6.36 0.5879
6.68 0.6281
7.08 0.677
7.44 0.7333
17.16 0.6617
18.36 0.6359
9.52 0.7508
9.68 0.7299
9.72 0.7436
6.48 0.5595
6.8 0.6099
7.12 0.6652
7.44 0.7201
7.84 0.6601
17.6 0.6987
17.52 0.7076
18.68 0.7188
18.68 0.7332
6.56 0.5429
6.8 0.592
7.2 0.651
7.56 0.6953
8.0 0.6511
18.0 0.6525
9.48 0.6804
9.84 0.7219
9.92 0.7384
6.52 0.5277
6.88 0.5773
7.2 0.6349
7.6 0.6869
7.96 0.7364
8.32 0.6945
18.52 0.6793
9.76 0.7133
9.96 0.7116
6.6 0.4913
6.92 0.5433
7.24 0.6092
7.72 0.5966
8.0 0.7213
17.48 0.6687
9.64 0.6674
18.96 0.7151
10.0 0.7122
6.68 0.4777
7.0 0.5397
7.32 0.5974
7.68 0.655
8.0 0.7217
8.44 0.6672
9.88 0.6611
10.0 0.6844
10.2 0.7191
6.72 0.4521
7.0 0.5109
7.32 0.5757
7.72 0.6386
8.08 0.7036
9.88 0.6721
9.92 0.6569
10.12 0.6884
10.2 0.6812
6.72 0.4261
7.04 0.4936
7.36 0.5614
7.72 0.6184
8.12 0.6829
8.52 0.6379
10.04 0.6781
10.2 0.6841
10.24 0.6858
6.92 0.4403
7.24 0.5076
7.44 0.5366
7.76 0.6007
8.08 0.6751
9.92 0.6167
10.0 0.6305
10.2 0.6313
10.32 0.6443
6.92 0.4078
7.24 0.4992
7.6 0.55
7.76 0.5862
8.48 0.6011
8.52 0.5935
10.2 0.6444
10.36 0.6409
10.48 0.6602
6.88 0.3633
7.32 0.4701
7.6 0.5287
7.92 0.6038
8.16 0.6394
10.16 0.6219
10.16 0.601
10.32 0.623
10.56 0.6487
7.08 0.3864
7.24 0.4222
7.6 0.5014
9.32 0.701
10.0 0.5721
8.64 0.5556
10.28 0.5989
10.52 0.6136
10.68 0.6252
7.0 0.3364
7.44 0.4475
7.6 0.4784
8.0 0.5665
8.36 0.6377
10.24 0.5676
10.48 0.5856
10.56 0.6133
10.64 0.5965
7.16 0.3472
7.4 0.3933
7.76 0.4915
8.2 0.4203
8.6 0.5076
10.44 0.5798
10.52 0.5725
10.68 0.5935
10.72 0.5987
7.08 0.274
7.72 0.3385
7.72 0.4655
8.08 0.5402
8.44 0.4313
8.84 0.5182
10.52 0.5511
10.72 0.5584
10.84 0.6108
7.16 0.2673
7.48 0.3587
8.16 0.3684
8.12 0.3546
8.6 0.4525
10.56 0.5171
10.68 0.5542
10.72 0.5437
10.92 0.5474
6.92 0.1736
7.28 0.2695
7.88 0.4324
8.24 0.3855
10.24 0.4503
10.48 0.4858
10.56 0.4597
10.88 0.525
10.88 0.5211
7.12 0.1821
7.44 0.296
7.72 0.372
8.52 0.3573
10.36 0.3986
9.0 0.4639
10.84 0.4885
10.76 0.4638
11.08 0.514
7.24 0.1795
7.56 0.3159
7.8 0.4029
8.12 0.2381
8.6 0.3831
10.8 0.4565
10.88 0.4683
10.96 0.4811
11.16 0.5137
6.76 0.0038
7.28 0.1773
7.68 0.3101
8.16 0.241
8.84 0.3759
8.88 0.3621
11.12 0.5042
11.16 0.5013
11.32 0.5263
6.28 0.6047
6.64 0.6504
6.96 0.6921
7.32 0.7362
16.56 0.6812
17.84 0.6566
17.64 0.7307
18.88 0.7007
18.92 0.7424
6.36 0.5825
6.68 0.6226
7.08 0.6786
7.44 0.7318
17.16 0.6521
18.4 0.6439
18.0 0.7319
9.64 0.7305
9.72 0.7437
6.48 0.5586
6.8 0.6114
7.16 0.6639
7.48 0.7022
7.8 0.6677
17.56 0.6957
18.96 0.6412
18.68 0.703
18.68 0.7324
6.56 0.5404
6.8 0.5818
7.2 0.6482
7.56 0.7033
16.84 0.6528
17.92 0.6701
9.48 0.6842
9.8 0.7102
9.88 0.7272
6.6 0.524
6.88 0.5821
7.2 0.6368
7.56 0.6828
7.96 0.7356
9.56 0.6907
9.6 0.6792
18.4 0.713
10.12 0.7373
6.6 0.4932
6.92 0.5497
7.28 0.6055
7.76 0.5945
8.0 0.7212
17.52 0.6692
9.68 0.681
18.84 0.7013
10.04 0.698
6.64 0.4676
6.96 0.5317
7.32 0.5918
7.68 0.6553
8.04 0.7197
8.44 0.667
9.88 0.6605
